,id,name,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,beds,price,number_of_reviews,review_scores_rating,geometry,restaurant,nightclub,suppermarket,park,trainstation,busstop,bicycle_rental,city_center,Wijkcode,Wijk,culture_to,public_gre,Safety_ind
78,53544518,Quadruple Room,Centrum-West,52.3725,4.88846,Room in boutique hotel,4,4.0,292.0,12,4.75,POINT (121035.36149006481 487297.26480061753),69.9744381249889,174.30209429277286,127.4156098459465,861.7754738714909,855.9170461260184,326.3603561350506,172.87090687340608,288.24364342624546,AC,Grachtengordel-West,19.0,0.0,86.0
79,53585990,Triple room,Centrum-West,52.37251,4.8869,Room in boutique hotel,3,2.0,248.0,2,5.0,POINT (120929.13389365972 487299.10968249245),37.99475368580167,278.6183735213858,230.8198341473393,784.0437774918298,961.1853545865832,240.22010766510732,224.08478891023705,390.9658857259543,AC,Grachtengordel-West,19.0,0.0,86.0
80,53586616,Double Room,Centrum-West,52.37044,4.88764,Room in boutique hotel,2,1.0,187.0,3,3.33,POINT (120977.93992559807 487068.4476487114),60.638069693304494,291.44524530374224,172.29640835813888,921.2918214333034,906.8826346985132,321.91767216430264,114.39783323619034,455.502878787733,AC,Grachtengordel-West,19.0,0.0,86.0
81,53720274,Twin Room Canal view,Centrum-West,52.37028,4.88638,Room in boutique hotel,2,2.0,191.0,19,4.32,POINT (120892.00750409669 487051.23782201525),40.34157697981043,359.5445615644106,87.79109268734476,839.4030501556516,994.1489660373484,399.2478699144874,198.82791280679933,532.2007987375982,AC,Grachtengordel-West,19.0,0.0,86.0
82,602690013070348494,Beautiful appartment in Amsterdam Canal Belt area,Centrum-West,52.37285,4.88512,Entire condo,2,1.0,300.0,1,5.0,POINT (120808.17884427936 487337.7774155798),63.69388716885302,404.7290093969551,140.59614074673016,675.5752826688749,1086.662221526439,137.7576229536028,228.5027951325404,505.4689169029608,AC,Grachtengordel-West,19.0,0.0,86.0
83,616463734050068121,NEW! Roof terrace apartment in Jordaan Area!,Centrum-West,52.36929,4.88287,Private room in condo,2,1.0,141.0,55,4.55,POINT (120652.19967522153 486942.7452344139),40.139379060756944,504.4070031079381,87.40375874720276,580.7865376582197,1110.8516932740404,325.5988369669234,462.0058370696844,790.4863137887105,AC,Grachtengordel-West,19.0,0.0,86.0
84,621544295248183694,Comfortable 1-bedroom in the heart of the city,Centrum-West,52.37075,4.88785,Private room in condo,1,1.0,85.0,1,5.0,POINT (120992.47914973681 487102.8406085996),62.324661217321065,259.0352251385126,190.23001300636352,951.7969361418692,889.5501709598333,322.32654754741844,86.56623775209458,421.74215627347513,AC,Grachtengordel-West,19.0,0.0,86.0
85,648233252752355249,Grand 4 Bedroom Townhouse with a Roof Terrace,Centrum-West,52.3694497,4.88417,Entire townhouse,4,4.0,1100.0,6,5.0,POINT (120740.85879042235 486959.8985985081),52.776851108,441.0535984630673,125.20358169734156,662.9485421517385,1084.8161447377208,414.1659204265964,374.4921513459172,707.8798709439478,AC,Grachtengordel-West,19.0,0.0,86.0
86,653475769996837641,Stylish loft in the middle of Amsterdam-Centrum,Centrum-West,52.37294,4.88438,Entire condo,2,1.0,280.0,9,4.89,POINT (120757.8550725712 487348.1404721301),72.93487922284987,456.106886742635,109.17635482722572,637.1460459545284,1138.0051762065202,116.9184284235886,196.3686747122168,554.9898368748466,AC,Grachtengordel-West,19.0,0.0,86.0
87,669119223985158714,Spacious & luxury apartment in Amsterdam center,Centrum-West,52.37312,4.88535,Entire condo,2,1.0,295.0,1,5.0,POINT (120824.04964322559 487367.70994046686),65.97382896654774,396.85529414412525,128.7116373433661,662.6163420126202,1076.3829395593093,119.08529414754187,213.7165895243664,488.10076758878,AC,Grachtengordel-West,19.0,0.0,86.0
88,694704547237778151,Amsterdam Canal House in 'Negen Straatjes' area,Centrum-West,52.37217316133992,4.886719028836066,Entire condo,2,2.0,282.0,8,5.0,POINT (120916.55102406666 487261.7170947742),12.434935715292072,287.435308717594,224.0545897836365,803.2961759927397,969.0002982755584,259.4212052067876,206.6871667363657,412.2508046710951,AC,Grachtengordel-West,19.0,0.0,86.0
89,700579143087613212,Canal House in Amsterdam,Centrum-West,52.3702,4.88605,Entire condo,4,2.0,372.0,1,5.0,POINT (120869.47198220197 487042.49214491784),25.69201215929164,370.5922427745263,68.37884126210614,815.7760239748393,1017.5248267096292,419.3163855357448,222.9901849233856,555.3997039369733,AC,Grachtengordel-West,19.0,0.0,86.0
90,738971999005460220,Spacious 1300sqft 3bedroom apartment city center,Centrum-West,52.36948,4.88287,Entire condo,4,3.0,647.0,1,5.0,POINT (120652.3467878427 486963.88518767897),46.7500988462056,525.525257818473,73.62608136283241,593.9364305744934,1129.1455899556115,334.7745192139182,453.7588656398685,778.9207085908303,AC,Grachtengordel-West,19.0,0.0,86.0
